16:1e:10 1e:d:25 37:3:9 3a:1a:7 6:6:39 26:c:e 1e:7:d 17:12:3d 3d:29:33 2e:1:8 35:6:39 1b:29:10
9:8:24 3e:31:e 21:12:14 28:12:2d b:35:1f 29:19:6 11:3a:35 5:8:31 33:e:2e f:15:3f 1f:1a:e 3:13:10
2c:33:12 2b:1:3e 1d:39:c 17:34:2f 21:21:2c 28:4:28 20:6:27 35:38:2 16:1e:e 12:2b:19 11:28:22 1e:36:4
2:1f:14 3d:7:2b 2a:16:4 1b:f:9 35:20:b f:3f:24 36:f:d 10:24:36 8:38:26 28:3e:1e 1:2d:24 15:1c:14
2b:7:3c 1b:7:2d 1:12:a 15:11:5 14:c:29 a:1:14 21:2a:0 7:2:3e 31:3:1e 24:3f:33 30:4:3f 12:3a:1
15:0:3a 1d:3c:8 3f:37:3 2d:f:1 9:3a:8 2f:21:7 14:11:1 29:24:28 13:b:3 3d:22:3a 26:2d:38 f:8:38
22:33:3a 38:1c:5 27:2:1a 4:2c:3a 18:18:21 f:3a:32 2:31:b 19:28:5 39:5:3e 17:6:29 17:4:20 1c:1c:2b
16:3d:34 4:34:1b 10:2f:6 36:3f:2b 22:c:19 1e:e:19 35:3f:24 2c:1c:31 35:c:20 1e:23:3e 4:25:17 14:1a:1
21:2f:26 1:11:1b 1c:15:10 4:3a:30 13:d:36 37:11:29 1d:39:1b 12:24:34 13:1a:39 6:1a:1 0:39:17 11:11:c
17:15:13 5:5:2d 4:c:1a 17:5:2e 17:35:8 31:e:1f 1d:24:f 25:3:34 10:a:13 8:29:13 39:26:16 3a:5:2a
b:27:1a 7:33:19 2d:f:b 16:c:3b 10:29:38 a:2d:3b 2f:6:27 5:17:e 14:2:25 13:1:26 2e:a:3e 1e:25:32
2c:d:39 31:a:b 3e:1d:8 25:20:24 15:8:3f 38:f:13 2:21:1b 35:1e:15 2c:8:3c 31:3f:31 35:20:21 1a:22:2d

