22:2c:2b 28:2c:2f 4:2b:2a b:11:3d 38:4:11 27:5:16 e:6:3d 2a:1f:20 10:19:1e f:10:17 3d:1f:c 14:0:0
4:36:36 28:27:d 29:2:3d 2a:29:26 28:a:27 3f:3f:0 1a:26:d 11:19:32 22:1:0 36:1:2a 3b:28:26 1a:2a:32
1f:5:c 1a:17:2a 3c:25:35 d:36:30 3:2f:2e 24:20:1d 9:f:25 2b:2c:2d 3d:9:3c 14:13:20 17:2d:26 e:20:31
16:9:3f 12:26:26 12:22:1a 20:f:23 39:b:3d 0:16:13 2e:34:35 0:3b:7 20:9:a 39:37:3c 1f:29:a 9:35:28
11:1c:34 31:2:19 8:20:38 37:8:22 1a:3a:3d 24:28:9 2e:3a:2 1e:2b:1d 16:18:36 17:30:2f 14:36:5 9:8:1b
23:22:9 1f:16:e 39:0:30 37:5:35 9:2b:31 16:8:3d 3c:0:1e 3d:23:33 26:21:29 1c:24:1f 18:28:19 c:3c:11
14:5:1f 7:38:34 23:39:7 15:1b:0 1a:37:14 b:1e:3e 2a:15:3b 26:2a:12 38:38:11 38:30:c 3e:1f:2b 15:39:2a
34:15:1a 30:38:9 12:3f:e 1d:a:1 a:7:3e 25:8:27 3c:11:0 2a:3d:31 39:5:3e 35:13:25 1f:13:24 1b:27:2a
10:1c:27 13:22:32 8:13:1c 3:f:27 35:3c:15 3d:2e:1 33:3:3d 25:a:22 14:3c:3 27:3e:a 23:33:17 20:2e:7
5:9:37 13:21:26 3e:2d:11 39:d:1d 3c:16:2 23:12:26 27:37:28 1d:17:1a 16:0:18 0:33:23 12:29:3 11:1a:38
1a:21:a a:0:2c 3b:2:3 3a:39:5 0:6:31 3f:37:16 31:32:6 12:23:1f 16:2:d a:7:e 9:8:1e 2d:2:6
26:15:3f 2f:1f:7 4:1d:f 22:2d:31 39:d:12 35:2c:3e 13:20:31 26:2b:b 3d:16:37 b:12:6 26:1:2e b:31:12
